"parcel","freq"
"R_TP1_A",5
"R_TP1_B",4
"R_TP1_C",3
"R_TP1_D",8
"R_TP1_E",10
"R_TP1_F",18
"R_TP2.1_A",3
"R_TP2.1_B",9
"R_TP2.1_C",1
"R_TP2.1_D",15
"R_TP2.2_A",7
"R_TP2.2_B",3
"R_TP2.2_C",2
"R_TP2.2_D",5
"R_TP3_A",2
"R_TP3_B",6
"R_TP3_C",6
"R_TP3_D",0
"R_T1_A",22
"R_T1_B",28
"R_T1_C",25
"R_T1_D",24
"R_T1_E",15
"R_T1_F",16
"R_T1_G",5
"R_T2.1_A",42
"R_T2.1_B",42
"R_T2.1_C",40
"R_T2.1_D",17
"R_T2.1_E",16
"R_T2.1_F",4
"R_T2.1_G",2
"R_T2.2_A",16
"R_T2.2_B",11
"R_T2.2_C",14
"R_T2.2_D",17
"R_T2.2_E",7
"R_T2.2_F",9
"R_T2.2_G",6
"R_T3.1_A",4
"R_T3.1_B",1
"R_T3.1_C",3
"R_T3.1_D",2
"R_T3.1_E",3
"R_T3.1_F",4
"R_T3.2_A",9
"R_T3.2_B",10
"R_T3.2_C",5
"R_T3.2_D",3
"R_T3.2_E",3
"R_O1_A",8
"R_O1_B",1
"R_O1_C",4
"R_O1_D",6
"R_O1_E",5
"R_O2.1_A",4
"R_O2.1_B",2
"R_O2.1_C",3
"R_O2.1_D",6
"R_O2.1_E",6
"R_O2.2_A",0
"R_O2.2_B",7
"R_O2.2_C",3
"R_O2.2_D",4
"R_O2.2_E",3
"R_O2.2_F",13
"R_O2.2_G",5
"R_O2.2_H",7
"R_O2.2_I",5
"R_O2.2_J",9
"R_O2.2_K",8
"R_O3_A",1
"R_O3_B",3
"R_O3_C.1",1
"R_O3_C.2",1
"R_O3_D.1",2
"R_O3_D.2",2
"R_O3_E",3
"R_O3_F",5
"R_O3_G",7
"R_O3_H",6
"R_O3_I",5
"R_O4_A",3
"R_O4_B",2
"R_AN1_A",3
"R_AN1_B",10
"R_AN1_C",4
"R_AN2_A",5
"R_AN2_B",10
"R_AN2_C",3
"R_AN2_D",9
"R_SM1_A",1
"R_SM1_B",6
"R_SM1_C",10
"R_SM1_D",9
"R_SM1_E",4
"R_SM2_A",4
"R_SM2_B",4
"R_SM3_A",10
"R_SM3_B",11
"R_SM3_C",11
"R_SM4_A",12
"R_SM4_B",7
"R_SM4_C",2
"R_SM5_A",4
"R_SM5_B",2
"R_SM5_C",7
"R_SM5_D",9
"R_SM5_E",6
"R_P1_A",2
"R_P1_B",0
"R_P1_C",0
"R_P1_D",1
"R_P1_E",3
"R_P1_F",4
"R_P1_G",3
"R_P2_A",0
"R_P2_B",2
"R_P2_C",1
"R_P2_D",6
"R_P3_A",1
"R_P3_B",0
"R_P3_C",0
"R_P3_D",0
"R_P3_E",0
"R_P3_F",5
"R_P4_A",0
"R_P4_B",5
"R_P4_C",5
"R_P4_D",7
"R_P4_E",1
"R_P4_F",0
"R_P4_G",8
"R_S_A",1
"R_S_B",1
"R_S_C",0
"R_S_D",1
"R_S_E",1
"R_S_F",6
"R_S_G",5
"R_S_H",18
"R_S_I",12
"R_S_J",9
"R_S_K",6
"R_S_L",18
"R_S_M",13
"R_M1_A",9
"R_M1_B",9
"R_M1_C",6
"R_M1_D",11
"R_M2_A",0
"R_M2_B",0
"R_M2_C",2
"R_M2_D",0
"R_M2_E",1
"R_M2_F",3
"R_M2_G",1
"R_M2_H",12
"R_M2_I",7
"R_M2_J",1
"R_M2_K",15
"R_SF1_A",2
"R_SF1_B",0
"R_SF1_C",0
"R_SF1_D",2
"R_SF2_A",2
"R_SF2_B",1
"R_SF2_C",1
"R_SF2_D",4
"R_SF3_A",1
"R_SF3_B",0
"R_SF3_C",1
"R_SF3_D",3
"R_SF4_A",0
"R_SF4_B",0
"R_SF4_C",0
"R_SF4_D",4
"R_SF5_A",0
"R_SF5_B",1
"R_SF5_C",1
"R_SF5_D",4
"R_SF6_A",2
"R_SF6_B",0
"R_SF6_C",1
"R_SF6_D",2
"R_SF7_A",0
"R_SF7_B",0
"R_SF7_C",0
"R_SF7_D",0
"R_SF7_E",2
"R_SF8_A",0
"R_SF8_B",0
"R_SF8_C",0
"R_SF8_D",1
"R_MF1_A",7
"R_MF1_B",5
"R_MF1_C",6
"R_MF2_A",14
"R_MF2_B",21
"R_MF2_C",5
"R_MF2_D",7
"R_MF3_A",3
"R_MF3_B",7
"R_MF3_C",14
"R_MF3_D",12
"R_MF4_A",5
"R_MF4_B",10
"R_MF4_C",6
"R_MF4_D",5
"R_MF5_A",5
"R_MF5_B",8
"R_MF5_C",5
"R_MF6_A",1
"R_MF6_B",7
"R_MF6_C",3
"R_MF7_A",15
"R_MF7_B",10
"R_MF7_C",5
"R_MF8_A",5
"R_OP_A",14
"R_OP_B",10
"R_OP_C",10
"R_TR1_A",5
"R_TR1_B",7
"R_TR2_A",10
"R_TR2_B",4
"R_TR3_A",24
"R_TR3_B",2
"R_OR_A",5
"R_OR_B",12
"R_OR_C",7
"R_FP1_A",0
"R_FP1_B",0
"R_FP1_C",1
"R_FP1_D",2
"R_FP1_E",1
"R_FP1_F",4
"R_FP1_G",11
"R_FP1_H",0
"R_FP2_A",0
"R_FP2_B",0
"R_FP2_C",1
"R_FP2_D",0
"R_FP3_A",1
"R_FP3_B",1
"R_FP3_C",2
"R_FP3_D",5
"R_FP3_E",3
"R_FP3_F",1
"R_FP3_G",2
"R_FP4_A",8
"R_FP4_B",1
"R_FP4_C",0
"R_FP4_D",0
"R_FP4_E",4
"R_FP4_F",6
"R_FO1_A",4
"R_FO1_B",1
"R_FO1_C",5
"R_FO1_D",6
"R_FO2_A",2
"R_FO2_B",0
"R_FO2_C",0
"R_FO2_D",1
"R_FO2_E",5
"R_FO3_A",2
"R_FO3_B",1
"R_FO3_C",5
"R_FO3_D",4
"R_FO4_A",4
"R_FO4_B",9
"R_FO4_C",9
"R_FO4_D",10
"R_FO5_A",2
"R_FO5_B",1
"R_FO5_C",2
"R_FO5_D",1
"R_FO5_E",1
"R_FO6_A",0
"R_FO6_B",0
"R_FO6_C",0
"R_LOT_A",3
"R_LOT_B",5
"R_LOT_C",3
"R_LOT_D",2
"R_LOT_E",2
"R_MOT_A",6
"R_MOT_B",7
"R_MOT_C",8
"R_MOT_D",2
"R_MOT_E",4
"R_MOT_F",1
"R_MOT_G",0
"R_MOT_H",1
"R_PH_A",3
"R_PH_B",12
"R_PH_C",6
"R_PH_D",4
"R_PH_E",4
"R_PH_F",1
"R_PH_G",3
"R_L_A",1
"R_L_B",2
"R_L_C",4
"R_CG_A",0
"R_CG_B",0
"R_CG_C",0
"R_CG_D",0
"R_CG_E",4
"R_CG_F",3
"R_CG_G",9
"R_CG_H",4
"R_CG_I",5
"R_CG_J",0
"R_CG_K",1
"R_CG_L",0
"R_CG_M",6
"R_CG_N.1",8
"R_CG_N.2",2
"R_CG_O",3
"R_CG_P",2
"R_CG_Q",0
"R_CG_R",0
"R_H_A",21
"R_H_B",35
"R_H_C",8
"R_A_A",11
"R_A_B",12
"R_I1_A",1
"R_I1_B",2
"R_I1_C",0
"R_I2_A",0
"R_I2_B",1
"R_I2_C",0
"R_I3_A",4
"R_I3_B",3
