"X","Hemisphere","Lobe","Region","Gyrus","Code","Long.name","YBA_R_color","YBA_G_color","YBA_B_color"
1,"Left","Temporal","Temporal pole","Superior temporal pole","L_TP1_A","Left superior temporal pole A",0,115,230
2,"Left","Temporal","Temporal pole","Superior temporal pole","L_TP1_B","Left superior temporal pole B",0,115,230
3,"Left","Temporal","Temporal pole","Superior temporal pole","L_TP1_C","Left superior temporal pole B",0,115,230
4,"Left","Temporal","Temporal pole","Superior temporal pole","L_TP1_D","Left superior temporal pole C",0,115,230
5,"Left","Temporal","Temporal pole","Superior temporal pole","L_TP1_E","Left superior temporal pole D",0,115,230
6,"Left","Temporal","Temporal pole","Superior temporal pole","L_TP1_F","Left superior temporal pole F",0,115,230
7,"Left","Temporal","Temporal pole","Superior middle temporal pole","L_TP2.1_A","Left superior middle temporal pole A",47,151,255
8,"Left","Temporal","Temporal pole","Superior middle temporal pole","L_TP2.1_B","Left superior middle temporal pole B",47,151,255
9,"Left","Temporal","Temporal pole","Superior middle temporal pole","L_TP2.1_C","Left superior middle temporal pole C",47,151,255
10,"Left","Temporal","Temporal pole","Superior middle temporal pole","L_TP2.1_D","Left superior middle temporal pole D",47,151,255
11,"Left","Temporal","Temporal pole","Inferior middle temporal pole","L_TP2.2_A","Left inferior middle temporal pole A",93,174,255
12,"Left","Temporal","Temporal pole","Inferior middle temporal pole","L_TP2.2_B","Left inferior middle temporal pole B",93,174,255
13,"Left","Temporal","Temporal pole","Inferior middle temporal pole","L_TP2.2_C","Left inferior middle temporal pole C",93,174,255
14,"Left","Temporal","Temporal pole","Inferior middle temporal pole","L_TP2.2_D","Left inferior middle temporal pole D",93,174,255
15,"Left","Temporal","Temporal pole","Inferior temporal pole","L_TP3_A","Left inferior temporal pole A",133,194,255
16,"Left","Temporal","Temporal pole","Inferior temporal pole","L_TP3_B","Left inferior temporal pole B",133,194,255
17,"Left","Temporal","Temporal pole","Inferior temporal pole","L_TP3_C","Left inferior temporal pole C",133,194,255
18,"Left","Temporal","Temporal pole","Inferior temporal pole","L_TP3_D","Left inferior temporal pole D",133,194,255
19,"Left","Temporal","Temporal body","Superior temporal gyrus","L_T1_A","Left superior temporal gyrus A",110,110,255
20,"Left","Temporal","Temporal body","Superior temporal gyrus","L_T1_B","Left superior temporal gyrus B",110,110,255
21,"Left","Temporal","Temporal body","Superior temporal gyrus","L_T1_C","Left superior temporal gyrus C",110,110,255
22,"Left","Temporal","Temporal body","Superior temporal gyrus","L_T1_D","Left superior temporal gyrus D",110,110,255
23,"Left","Temporal","Temporal body","Superior temporal gyrus","L_T1_E","Left superior temporal gyrus E",110,110,255
24,"Left","Temporal","Temporal body","Superior temporal gyrus","L_T1_F","Left superior temporal gyrus F",110,110,255
25,"Left","Temporal","Temporal body","Superior temporal gyrus","L_T1_G","Left superior temporal gyrus G",110,110,255
26,"Left","Temporal","Temporal body","Superior middle temporal gyrus","L_T2.1_A","Left superior middle temporal gyrus A",135,135,255
