"parcel_names","num_vertex"
"L_TP1_A",56
"L_TP1_B",47
"L_TP1_C",49
"L_TP1_D",66
"L_TP1_E",76
"L_TP1_F",186
"L_TP2.1_A",51
"L_TP2.1_B",73
"L_TP2.1_C",56
"L_TP2.1_D",119
"L_TP2.2_A",55
"L_TP2.2_B",47
"L_TP2.2_C",50
"L_TP2.2_D",92
"L_TP3_A",62
"L_TP3_B",90
"L_TP3_C",92
"L_TP3_D",109
"L_T1_A",176
"L_T1_B",219
"L_T1_C",250
"L_T1_D",244
"L_T1_E",268
"L_T1_F",202
"L_T1_G",132
"L_T2.1_A",108
"L_T2.1_B",136
"L_T2.1_C",111
"L_T2.1_D",124
"L_T2.1_E",139
"L_T2.1_F",182
"L_T2.1_G",80
"L_T2.2_A",96
"L_T2.2_B",78
"L_T2.2_C",75
"L_T2.2_D",80
"L_T2.2_E",78
"L_T2.2_F",128
"L_T2.2_G",105
"L_T3.1_A",75
"L_T3.1_B",77
"L_T3.1_C",71
"L_T3.1_D",74
"L_T3.1_E",71
"L_T3.1_F",154
"L_T3.2_A",80
"L_T3.2_B",81
"L_T3.2_C",73
"L_T3.2_D",80
"L_T3.2_E",97
"L_O1_A",154
"L_O1_B",102
"L_O1_C",93
"L_O1_D",128
"L_O1_E",174
"L_O2.1_A",69
"L_O2.1_B",103
"L_O2.1_C",130
"L_O2.1_D",134
"L_O2.1_E",111
"L_O2.2_A",58
"L_O2.2_B",83
"L_O2.2_C",53
"L_O2.2_D",46
"L_O2.2_E",82
"L_O2.2_F",142
"L_O2.2_G",101
"L_O2.2_H",117
"L_O2.2_I",93
"L_O2.2_J",119
"L_O2.2_K",121
"L_O3_A",105
"L_O3_B",122
"L_O3_C.1",61
"L_O3_C.2",57
"L_O3_D.1",69
"L_O3_D.2",58
"L_O3_E",126
"L_O3_F",94
"L_O3_G",83
"L_O3_H",93
"L_O3_I",104
"L_O4_A",73
"L_O4_B",49
"L_AN1_A",118
"L_AN1_B",105
"L_AN1_C",46
"L_AN2_A",111
"L_AN2_B",76
"L_AN2_C",63
"L_AN2_D",203
"L_SM1_A",70
"L_SM1_B",137
"L_SM1_C",116
"L_SM1_D",159
"L_SM1_E",193
"L_SM2_A",49
"L_SM2_B",47
"L_SM3_A",116
"L_SM3_B",129
"L_SM3_C",154
"L_SM4_A",172
"L_SM4_B",50
"L_SM4_C",83
"L_SM5_A",141
"L_SM5_B",62
"L_SM5_C",92
"L_SM5_D",120
"L_SM5_E",128
"L_P1_A",77
"L_P1_B",95
"L_P1_C",58
"L_P1_D",75
"L_P1_E",165
"L_P1_F",156
"L_P1_G",262
"L_P2_A",68
"L_P2_B",84
